Date,Price,Open,High,Low,Vol.,Change %
2024-08-01,934.55,937.55,957.95,927.75,4.04M,0.68%
2024-08-02,899.55,919.90,923.85,896.00,3.31M,-3.75%
2024-08-05,863.80,884.00,884.00,854.15,4.06M,-3.97%
2024-08-06,884.00,867.05,893.05,867.05,2.67M,2.34%
2024-08-07,906.45,899.00,910.65,895.00,2.26M,2.54%
2024-08-08,887.55,900.00,902.95,883.40,2.80M,-2.09%
2024-08-09,905.10,896.05,914.75,889.00,1.72M,1.98%
2024-08-12,917.35,904.80,926.20,898.10,3.82M,1.35%
2024-08-13,907.85,925.00,927.50,905.00,1.33M,-1.04%
2024-08-14,890.30,911.95,911.95,885.40,2.02M,-1.93%
2024-08-16,908.45,900.00,910.70,882.55,2.21M,2.04%
2024-08-19,917.75,910.00,920.00,903.90,847.52K,1.02%
2024-08-20,917.15,923.90,923.90,910.80,696.61K,-0.07%
2024-08-21,925.80,910.00,927.00,908.10,1.60M,0.94%
2024-08-22,933.25,927.05,934.85,924.80,1.07M,0.80%
2024-08-23,941.05,934.60,943.95,929.15,1.44M,0.84%
2024-08-26,963.50,945.50,968.90,937.20,2.36M,2.39%
2024-08-27,944.00,963.45,966.95,942.75,2.48M,-2.02%
2024-08-28,949.25,947.50,951.50,935.00,2.29M,0.56%
2024-08-29,939.70,945.00,950.50,930.80,2.23M,-1.01%
2024-08-30,941.10,947.90,954.75,938.65,2.90M,0.15%
2024-09-02,940.45,941.10,951.45,936.15,1.32M,-0.07%
2024-09-03,930.95,937.10,941.55,929.95,1.12M,-1.01%
2024-09-04,933.05,920.00,934.70,912.00,3.02M,0.23%
2024-09-05,925.45,934.55,944.55,923.75,1.48M,-0.81%
2024-09-06,932.80,925.45,939.40,911.70,1.98M,0.79%
2024-09-09,934.25,923.00,936.70,919.05,1.79M,0.16%
2024-09-10,938.75,934.10,948.50,929.80,1.39M,0.48%
2024-09-11,927.75,941.05,944.30,924.25,1.09M,-1.17%
2024-09-12,954.80,935.80,957.60,929.00,3.06M,2.92%
2024-09-13,954.55,958.00,972.45,951.35,2.45M,-0.03%
2024-09-16,971.00,961.40,978.55,957.10,2.19M,1.72%
2024-09-17,964.25,971.00,974.55,961.70,543.06K,-0.70%
2024-09-18,956.70,962.05,970.95,950.00,644.37K,-0.78%
2024-09-19,948.40,960.00,965.95,944.00,1.28M,-0.87%
2024-09-20,981.55,970.00,988.00,965.20,8.04M,3.50%
2024-09-23,982.10,986.00,987.95,976.20,1.71M,0.06%
2024-09-24,989.70,991.30,"1,009.80",985.15,5.55M,0.77%
2024-09-25,982.65,996.00,998.65,972.70,1.31M,-0.71%
2024-09-26,"1,005.55",984.00,"1,007.95",975.45,2.71M,2.33%
2024-09-27,"1,001.55","1,008.00","1,018.90",997.50,2.76M,-0.40%
2024-09-30,"1,030.05","1,004.00","1,032.90","1,004.00",4.25M,2.85%
2024-10-01,"1,027.30","1,029.00","1,029.95","1,014.40",1.39M,-0.27%
2024-10-03,"1,039.10","1,028.00","1,060.00","1,025.45",6.62M,1.15%
2024-10-04,"1,033.75","1,042.00","1,063.00","1,027.30",4.86M,-0.51%
2024-10-07,"1,018.75","1,039.95","1,044.10","1,012.50",2.71M,-1.45%
2024-10-08,998.20,"1,014.40","1,014.40",984.00,4.12M,-2.02%
2024-10-09,994.50,999.90,"1,011.50",985.00,2.14M,-0.37%
2024-10-10,"1,007.40",999.00,"1,012.95",996.75,1.37M,1.30%
2024-10-11,"1,012.05","1,007.30","1,025.95","1,006.00",1.96M,0.46%
2024-10-14,"1,012.50","1,017.00","1,032.00","1,009.40",1.83M,0.04%
2024-10-15,"1,000.85","1,012.50","1,020.60",992.00,1.44M,-1.15%
2024-10-16,989.35,995.00,"1,004.80",982.05,1.25M,-1.15%
2024-10-17,979.50,991.10,995.20,969.75,1.08M,-1.00%
2024-10-18,992.60,978.50,998.25,973.10,1.29M,1.34%
2024-10-21,981.45,997.00,"1,005.00",980.05,953.14K,-1.12%
2024-10-22,963.65,981.00,983.30,960.40,1.32M,-1.81%
2024-10-23,954.45,963.65,971.00,952.15,1.31M,-0.95%
2024-10-24,958.10,954.45,962.05,952.45,650.39K,0.38%
2024-10-25,943.85,958.10,959.95,926.80,2.54M,-1.49%
2024-10-28,967.25,936.00,972.45,909.00,1.74M,2.48%
2024-10-29,958.80,972.45,972.80,947.00,1.03M,-0.87%
2024-10-30,957.30,966.20,968.55,952.30,733.89K,-0.16%
2024-10-31,963.65,958.00,967.85,954.45,1.45M,0.66%
2024-11-01,968.30,969.90,978.00,965.00,136.51K,0.48%
2024-11-04,954.90,965.05,968.85,941.10,957.72K,-1.38%
2024-11-05,999.50,954.90,"1,003.00",952.00,5.18M,4.67%
2024-11-06,"1,008.65","1,000.00","1,015.05",984.70,2.76M,0.92%
2024-11-07,989.80,"1,014.00","1,018.95",985.65,2.48M,-1.87%
2024-11-08,996.40,994.00,"1,001.55",976.50,3.57M,0.67%
2024-11-11,979.00,988.00,995.45,972.00,1.34M,-1.75%
2024-11-12,957.25,987.00,987.80,953.65,731.82K,-2.22%
2024-11-13,935.95,953.50,958.25,928.05,1.17M,-2.23%
2024-11-14,939.05,935.05,949.35,932.45,1.66M,0.33%
2024-11-18,949.85,935.05,956.05,934.90,1.14M,1.15%
2024-11-19,947.30,949.85,960.95,945.00,617.41K,-0.27%
2024-11-21,944.15,941.00,950.95,936.45,1.67M,-0.33%
2024-11-22,977.35,947.90,981.30,939.05,1.89M,3.52%
2024-11-25,953.30,975.00,980.45,945.65,4.56M,-2.46%
2024-11-26,963.60,955.00,966.80,950.60,1.18M,1.08%
2024-11-27,968.85,963.35,972.00,955.25,1.33M,0.54%
2024-11-28,954.15,968.85,974.95,949.05,2.96M,-1.52%
2024-11-29,966.00,959.00,971.70,953.40,1.33M,1.24%
2024-12-02,989.80,965.90,991.55,961.75,1.27M,2.46%
2024-12-03,998.80,995.00,"1,015.50",991.05,2.12M,0.91%
2024-12-04,994.85,996.10,"1,003.00",985.35,1.03M,-0.40%
2024-12-05,999.20,991.00,"1,009.95",977.00,2.22M,0.44%
2024-12-06,"1,003.80",999.90,"1,008.00",994.65,1.22M,0.46%
2024-12-09,"1,011.90","1,005.50","1,015.50",993.80,1.46M,0.81%
