Date,Price,Open,High,Low,Vol.,Change %
2024-05-30,"1,113.70","1,097.00","1,121.00","1,096.90",15.26M,1.06%
2024-05-31,"1,121.05","1,118.00","1,130.60","1,111.25",26.20M,0.66%
2024-06-03,"1,160.00","1,170.00","1,173.00","1,136.30",25.70M,3.47%
2024-06-04,"1,071.45","1,157.90","1,159.40","1,053.55",43.48M,-7.63%
2024-06-05,"1,108.65","1,085.00","1,123.25","1,051.05",42.17M,3.47%
2024-06-06,"1,110.40","1,118.00","1,118.00","1,096.60",18.57M,0.16%
2024-06-07,"1,121.70","1,110.40","1,128.30","1,103.60",17.20M,1.02%
2024-06-10,"1,123.80","1,116.00","1,133.20","1,115.10",10.85M,0.19%
2024-06-11,"1,118.20","1,119.75","1,129.05","1,111.00",12.25M,-0.50%
2024-06-12,"1,119.55","1,121.00","1,133.40","1,112.00",16.10M,0.12%
2024-06-13,"1,107.35","1,122.20","1,123.20","1,105.00",12.49M,-1.09%
2024-06-14,"1,105.65","1,114.00","1,114.00","1,099.45",11.38M,-0.15%
2024-06-18,"1,122.85","1,113.95","1,135.05","1,101.20",18.31M,1.56%
2024-06-19,"1,144.45","1,127.95","1,165.55","1,126.15",34.31M,1.92%
2024-06-20,"1,156.80","1,154.05","1,160.00","1,135.50",15.48M,1.08%
2024-06-21,"1,158.65","1,163.55","1,169.90","1,150.65",69.26M,0.16%
2024-06-24,"1,170.10","1,154.65","1,175.65","1,152.65",12.21M,0.99%
2024-06-25,"1,197.95","1,170.25","1,206.00","1,167.65",27.31M,2.38%
2024-06-26,"1,218.00","1,202.00","1,222.85","1,193.85",25.40M,1.67%
2024-06-27,"1,219.90","1,228.35","1,235.00","1,209.10",20.52M,0.16%
2024-06-28,"1,199.60","1,227.00","1,227.00","1,196.35",12.51M,-1.66%
2024-07-01,"1,211.85","1,199.60","1,215.35","1,192.05",8.64M,1.02%
2024-07-02,"1,190.60","1,217.00","1,217.00","1,185.55",16.15M,-1.75%
2024-07-03,"1,201.60","1,196.85","1,215.85","1,179.45",22.33M,0.92%
2024-07-04,"1,233.00","1,229.00","1,234.95","1,214.30",15.28M,2.61%
2024-07-05,"1,233.40","1,225.00","1,242.60","1,220.85",9.54M,0.03%
2024-07-08,"1,235.05","1,228.90","1,239.50","1,216.90",6.62M,0.13%
2024-07-09,"1,248.25","1,234.95","1,250.20","1,229.30",13.37M,1.07%
2024-07-10,"1,243.20","1,252.75","1,252.75","1,236.35",18.23M,-0.40%
2024-07-11,"1,238.45","1,246.35","1,257.80","1,225.05",11.31M,-0.38%
2024-07-12,"1,232.90","1,235.90","1,252.90","1,230.10",12.21M,-0.45%
2024-07-15,"1,229.95","1,233.10","1,238.45","1,224.05",15.61M,-0.24%
2024-07-16,"1,239.90","1,230.00","1,245.00","1,229.00",12.32M,0.81%
2024-07-18,"1,250.30","1,234.90","1,256.45","1,231.70",11.00M,0.84%
2024-07-19,"1,248.65","1,244.00","1,250.50","1,240.25",7.96M,-0.13%
2024-07-22,"1,241.15","1,240.00","1,245.30","1,232.90",9.96M,-0.60%
2024-07-23,"1,226.75","1,241.15","1,248.65","1,212.50",19.37M,-1.16%
2024-07-24,"1,223.00","1,225.00","1,233.65","1,202.05",20.12M,-0.31%
2024-07-25,"1,197.90","1,205.50","1,218.25","1,190.60",14.15M,-2.05%
2024-07-26,"1,207.20","1,190.00","1,220.00","1,185.95",19.31M,0.78%
2024-07-29,"1,212.70","1,215.15","1,242.75","1,204.15",28.46M,0.46%
2024-07-30,"1,209.45","1,213.00","1,230.85","1,204.40",23.97M,-0.27%
2024-07-31,"1,214.90","1,219.00","1,224.65","1,211.00",22.30M,0.45%
2024-08-01,"1,210.10","1,212.50","1,222.65","1,206.90",8.73M,-0.40%
2024-08-02,"1,196.55","1,197.00","1,201.65","1,190.10",10.74M,-1.12%
2024-08-05,"1,172.60","1,182.00","1,188.90","1,167.00",14.31M,-2.00%
2024-08-06,"1,166.85","1,175.00","1,187.70","1,161.50",13.58M,-0.49%
2024-08-07,"1,172.45","1,178.95","1,179.80","1,161.60",15.75M,0.48%
2024-08-08,"1,164.60","1,166.95","1,174.40","1,158.90",10.81M,-0.67%
2024-08-09,"1,171.60","1,176.55","1,180.95","1,169.00",8.69M,0.60%
2024-08-12,"1,172.80","1,171.00","1,178.25","1,156.00",10.86M,0.10%
2024-08-13,"1,168.35","1,183.20","1,189.25","1,163.60",13.12M,-0.38%
