Date,Price,Open,High,Low,Vol.,Change %
2024-06-21,269.65,271.45,274.75,268.9,17.41M,-0.81%
2024-06-24,269.9,269.65,271.25,266.6,7.28M,0.09%
2024-06-25,267.0,270.1,270.8,265.0,14.43M,-1.07%
2024-06-26,267.75,266.9,269.15,264.1,10.65M,0.28%
2024-06-27,267.5,267.4,268.1,263.5,22.83M,-0.09%
2024-06-28,274.2,269.0,275.45,268.35,19.53M,2.50%
2024-07-01,272.95,275.0,275.8,271.6,11.75M,-0.46%
2024-07-02,274.85,273.2,279.8,271.5,24.47M,0.70%
2024-07-03,274.7,276.0,277.7,274.0,9.13M,-0.05%
2024-07-04,277.05,275.0,278.9,273.05,13.44M,0.86%
2024-07-05,288.2,277.25,289.3,276.5,39.78M,4.02%
2024-07-08,299.15,290.0,303.0,287.35,53.14M,3.80%
2024-07-09,297.45,300.8,301.85,293.35,18.69M,-0.57%
2024-07-10,298.15,299.7,299.8,288.85,19.28M,0.24%
2024-07-11,304.75,300.0,307.2,295.15,36.02M,2.21%
2024-07-12,307.1,306.8,311.75,304.2,31.79M,0.77%
2024-07-15,322.5,311.8,323.65,308.65,51.44M,5.01%
2024-07-16,322.65,323.6,327.6,319.75,37.47M,0.05%
2024-07-18,331.7,325.1,333.3,321.65,48.19M,2.80%
2024-07-19,319.65,333.0,333.2,318.05,26.58M,-3.63%
2024-07-22,320.8,320.0,323.35,314.5,22.23M,0.36%
2024-07-23,314.15,320.05,321.4,297.4,37.87M,-2.07%
2024-07-24,319.55,313.05,325.75,312.1,28.26M,1.72%
2024-07-25,335.8,318.05,337.55,316.1,42.05M,5.09%
2024-07-26,331.6,336.5,338.5,330.1,25.70M,-1.25%
2024-07-29,332.9,333.8,339.55,330.75,26.72M,0.39%
2024-07-30,331.9,332.0,338.25,331.0,19.79M,-0.30%
2024-07-31,334.2,332.05,337.45,329.75,21.39M,0.69%
2024-08-01,341.75,337.8,344.7,337.15,36.04M,2.26%
2024-08-02,330.1,338.0,338.0,328.65,22.94M,-3.41%
2024-08-05,310.25,320.35,323.3,306.0,37.99M,-6.01%
2024-08-06,306.1,314.8,322.45,305.15,28.39M,-1.34%
2024-08-07,329.1,312.4,330.95,312.0,66.11M,7.51%
2024-08-08,322.7,329.0,329.0,321.7,23.48M,-1.94%
2024-08-09,332.55,333.95,335.85,328.2,29.81M,3.05%
2024-08-12,341.3,332.75,344.7,329.9,34.75M,2.63%
2024-08-13,335.9,344.1,345.0,332.95,28.94M,-1.58%
2024-08-14,328.15,335.85,336.5,326.8,17.81M,-2.31%
2024-08-16,329.6,332.55,335.75,328.65,16.58M,0.44%
2024-08-19,335.3,335.0,338.75,333.55,19.64M,1.73%
2024-08-20,330.1,335.85,336.0,328.05,14.97M,-1.55%
2024-08-21,327.7,330.65,331.5,326.5,11.84M,-0.73%
2024-08-22,324.35,328.55,330.5,323.6,13.39M,-1.02%
2024-08-23,318.9,324.4,324.8,317.55,13.23M,-1.68%
2024-08-26,327.85,323.5,329.1,322.8,21.35M,2.81%
2024-08-27,328.85,329.4,332.55,326.0,20.17M,0.31%
2024-08-28,327.8,328.65,330.3,324.65,12.45M,-0.32%
2024-08-29,329.6,326.1,330.15,324.95,13.80M,0.55%
2024-08-30,330.75,330.45,334.4,329.55,19.67M,0.35%
2024-09-02,326.2,330.0,331.95,325.8,8.98M,-1.38%
2024-09-03,322.2,327.0,328.0,321.65,10.32M,-1.23%
2024-09-04,314.4,315.0,316.2,308.4,25.40M,-2.42%
2024-09-05,311.4,316.95,316.95,310.15,15.57M,-0.95%
2024-09-06,308.8,311.5,313.15,303.7,27.95M,-0.83%
2024-09-09,298.9,308.7,308.7,294.65,30.37M,-3.21%
2024-09-10,295.6,300.1,301.5,295.0,15.62M,-1.10%
2024-09-11,285.3,292.4,292.4,283.25,44.83M,-3.48%
2024-09-12,294.05,288.0,294.75,286.5,21.96M,3.07%
2024-09-13,291.45,295.7,297.25,291.05,13.67M,-0.88%
2024-09-16,292.5,294.8,295.4,291.35,10.97M,0.36%
2024-09-17,294.65,293.7,296.6,292.15,11.87M,0.74%
2024-09-18,290.4,297.6,297.8,287.9,13.42M,-1.44%
2024-09-19,285.25,287.4,289.2,282.5,17.07M,-1.77%
2024-09-20,286.25,287.0,289.05,285.2,16.59M,0.35%
2024-09-23,295.45,288.4,296.4,287.55,14.62M,3.21%
2024-09-24,299.45,296.3,302.0,294.7,16.99M,1.35%
2024-09-25,298.7,299.45,301.2,296.7,10.61M,-0.25%
2024-09-26,295.2,297.05,298.7,291.5,27.81M,-1.17%
2024-09-27,297.2,292.7,298.45,289.7,35.71M,0.68%
2024-09-30,297.6,297.0,301.8,293.75,16.29M,0.13%
2024-10-01,291.95,297.0,299.15,290.7,10.92M,-1.90%
2024-10-03,292.05,295.0,298.0,290.55,28.12M,0.03%
2024-10-04,295.25,297.0,299.7,293.2,23.10M,1.10%
2024-10-07,289.45,296.0,296.3,281.5,20.92M,-1.96%
2024-10-08,293.45,288.15,293.9,280.55,10.57M,1.38%
2024-10-09,288.5,291.25,291.9,286.85,13.15M,-1.69%
2024-10-10,288.75,288.7,292.15,287.55,7.24M,0.09%
2024-10-11,292.55,291.3,293.65,289.5,7.01M,1.32%
2024-10-14,286.5,292.7,292.9,285.15,12.69M,-2.07%
2024-10-15,283.7,286.4,286.4,280.85,15.09M,-0.98%
2024-10-16,285.4,283.0,287.25,280.65,18.19M,0.60%
2024-10-17,281.6,285.0,287.6,280.95,13.34M,-1.33%
2024-10-18,283.3,282.0,284.5,279.2,14.03M,0.60%
2024-10-21,276.6,281.15,284.0,274.55,10.30M,-2.36%
2024-10-22,270.8,278.0,278.15,270.0,10.03M,-2.10%
2024-10-23,270.85,270.0,274.4,265.05,18.82M,0.02%
2024-10-24,269.1,271.9,272.45,268.35,7.49M,-0.65%
2024-10-25,264.05,270.0,270.3,261.6,12.96M,-1.88%
