Date,Price,Open,High,Low,Vol.,Change %
2024-02-19,"2,513.25","2,495.00","2,525.50","2,481.40",477.52K,1.03%
2024-02-20,"2,539.40","2,519.00","2,541.80","2,497.10",631.44K,1.04%
2024-02-21,"2,543.60","2,539.40","2,551.00","2,518.15",893.18K,0.17%
2024-02-22,"2,563.15","2,560.00","2,565.95","2,525.00",752.37K,0.77%
2024-02-23,"2,579.00","2,565.00","2,583.00","2,551.95",605.62K,0.62%
2024-02-26,"2,583.90","2,588.00","2,588.00","2,566.75",661.95K,0.19%
2024-02-27,"2,598.70","2,585.00","2,601.45","2,566.75",630.87K,0.57%
2024-02-28,"2,570.90","2,601.00","2,605.00","2,560.25",492.79K,-1.07%
2024-02-29,"2,596.20","2,571.45","2,606.20","2,547.05",1.39M,0.98%
2024-03-01,"2,601.45","2,596.20","2,616.55","2,582.50",755.73K,0.20%
2024-03-02,"2,594.90","2,601.45","2,609.40","2,585.40",25.53K,-0.25%
2024-03-04,"2,589.10","2,594.90","2,601.10","2,577.40",634.31K,-0.22%
2024-03-05,"2,538.65","2,590.00","2,595.20","2,532.00",339.30K,-1.95%
2024-03-06,"2,533.05","2,540.00","2,566.75","2,508.25",991.64K,-0.22%
2024-03-07,"2,560.95","2,530.00","2,566.00","2,519.00",648.65K,1.10%
2024-03-11,"2,611.50","2,560.95","2,631.00","2,548.55",1.50M,1.97%
2024-03-12,"2,590.15","2,606.05","2,615.05","2,566.30",863.24K,-0.82%
2024-03-13,"2,582.95","2,594.95","2,653.65","2,552.85",1.81M,-0.28%
2024-03-14,"2,612.75","2,590.00","2,619.95","2,573.90",1.12M,1.15%
2024-03-15,"2,603.65","2,616.95","2,629.90","2,585.20",1.27M,-0.35%
2024-03-18,"2,580.35","2,603.65","2,610.80","2,558.75",642.60K,-0.89%
2024-03-19,"2,496.05","2,580.00","2,584.75","2,468.15",1.75M,-3.27%
2024-03-20,"2,550.25","2,514.00","2,555.00","2,498.05",699.65K,2.17%
2024-03-21,"2,553.65","2,551.00","2,562.05","2,525.15",903.88K,0.13%
2024-03-22,"2,573.40","2,540.20","2,592.00","2,537.00",1.01M,0.77%
2024-03-26,"2,586.10","2,568.00","2,596.50","2,532.15",970.85K,0.49%
2024-03-27,"2,566.45","2,586.10","2,590.55","2,551.75",900.60K,-0.76%
2024-03-28,"2,622.35","2,567.05","2,638.70","2,567.05",2.18M,2.18%
2024-04-01,"2,585.60","2,622.35","2,642.60","2,582.50",743.03K,-1.40%
2024-04-02,"2,623.30","2,597.00","2,630.00","2,583.00",722.88K,1.46%
2024-04-03,"2,553.95","2,623.30","2,623.95","2,545.00",1.93M,-2.64%
2024-04-04,"2,549.60","2,569.80","2,570.00","2,514.10",1.39M,-0.17%
2024-04-05,"2,537.65","2,575.00","2,576.00","2,534.00",766.23K,-0.47%
2024-04-08,"2,498.05","2,531.00","2,547.25","2,492.85",1.22M,-1.56%
2024-04-09,"2,502.80","2,506.00","2,522.20","2,497.00",433.94K,0.19%
2024-04-10,"2,527.60","2,514.00","2,533.00","2,494.05",494.88K,0.99%
2024-04-12,"2,536.20","2,534.70","2,559.00","2,516.20",1.24M,0.34%
2024-04-15,"2,553.65","2,510.00","2,577.00","2,510.00",1.15M,0.69%
2024-04-16,"2,546.10","2,550.15","2,583.65","2,542.30",768.86K,-0.30%
2024-04-18,"2,462.55","2,540.10","2,542.65","2,410.60",3.04M,-3.28%
2024-04-19,"2,437.70","2,430.00","2,471.35","2,410.00",1.85M,-1.01%
2024-04-22,"2,458.70","2,436.50","2,482.00","2,427.85",1.25M,0.86%
2024-04-23,"2,501.25","2,449.00","2,510.00","2,425.95",1.12M,1.73%
2024-04-24,"2,500.15","2,515.05","2,535.80","2,488.25",723.52K,-0.04%
2024-04-25,"2,562.65","2,519.95","2,577.90","2,471.25",3.24M,2.50%
2024-04-26,"2,482.75","2,574.95","2,582.80","2,471.05",1.32M,-3.12%
2024-04-29,"2,509.80","2,502.00","2,524.40","2,490.00",621.56K,1.09%
2024-04-30,"2,507.40","2,517.70","2,537.60","2,500.55",812.64K,-0.10%
2024-05-02,"2,512.30","2,507.40","2,541.00","2,505.00",1.11M,0.20%
2024-05-03,"2,456.10","2,515.10","2,523.05","2,436.25",1.13M,-2.24%
2024-05-06,"2,457.40","2,474.40","2,479.95","2,446.95",716.00K,0.05%
2024-05-07,"2,508.65","2,469.00","2,528.35","2,459.55",1.07M,2.09%
2024-05-08,"2,539.00","2,502.45","2,548.00","2,485.65",699.07K,1.21%
2024-05-09,"2,513.45","2,539.00","2,549.90","2,502.00",702.16K,-1.01%
2024-05-10,"2,533.20","2,513.45","2,549.00","2,503.45",697.42K,0.79%
2024-05-13,"2,516.25","2,532.75","2,541.90","2,506.05",340.38K,-0.67%
2024-05-14,"2,487.35","2,506.10","2,518.95","2,482.00",556.75K,-1.15%
2024-05-15,"2,465.00","2,488.00","2,499.00","2,460.00",434.41K,-0.90%
2024-05-16,"2,468.35","2,470.00","2,479.95","2,420.30",972.49K,0.14%
2024-05-17,"2,445.50","2,468.35","2,468.35","2,433.80",721.18K,-0.93%
2024-05-18,"2,504.40","2,464.00","2,518.75","2,459.80",252.53K,2.41%
2024-05-21,"2,460.80","2,466.00","2,489.60","2,432.00",1.29M,-1.74%
2024-05-22,"2,469.15","2,472.00","2,487.50","2,461.90",787.33K,0.34%
2024-05-23,"2,474.15","2,481.00","2,487.50","2,455.55",781.66K,0.20%
2024-05-24,"2,467.75","2,476.95","2,485.00","2,458.05",453.77K,-0.26%
2024-05-27,"2,459.90","2,477.00","2,479.00","2,455.00",535.83K,-0.32%
2024-05-28,"2,451.70","2,461.15","2,467.65","2,446.00",521.67K,-0.33%
2024-05-29,"2,476.20","2,447.70","2,497.00","2,445.00",869.60K,1.00%
2024-05-30,"2,404.80","2,465.05","2,473.10","2,400.55",1.27M,-2.88%
2024-05-31,"2,354.90","2,425.60","2,425.60","2,345.00",2.53M,-2.08%
2024-06-03,"2,355.05","2,374.80","2,388.95","2,350.00",1.07M,0.01%
2024-06-04,"2,427.75","2,363.95","2,438.00","2,327.45",1.56M,3.09%
2024-06-05,"2,509.85","2,430.00","2,574.05","2,430.00",2.03M,3.38%
2024-06-06,"2,471.40","2,518.00","2,518.00","2,452.65",972.14K,-1.53%
2024-06-07,"2,502.45","2,476.45","2,516.25","2,467.00",1.01M,1.26%
2024-06-10,"2,548.20","2,510.00","2,565.00","2,507.05",795.17K,1.83%
2024-06-11,"2,541.95","2,560.00","2,575.00","2,534.00",569.41K,-0.25%
2024-06-12,"2,537.30","2,544.00","2,554.75","2,521.00",480.41K,-0.18%
2024-06-13,"2,551.75","2,594.15","2,614.45","2,545.15",1.08M,0.57%
2024-06-14,"2,542.50","2,564.60","2,564.60","2,534.10",429.47K,-0.36%
2024-06-18,"2,550.35","2,549.00","2,555.00","2,534.00",259.55K,0.31%
2024-06-19,"2,526.05","2,550.00","2,559.60","2,517.85",784.31K,-0.95%
2024-06-20,"2,539.75","2,525.00","2,551.15","2,500.00",657.41K,0.54%
2024-06-21,"2,498.40","2,532.60","2,548.00","2,488.50",1.27M,-1.63%
2024-06-24,"2,530.05","2,498.40","2,532.00","2,484.50",724.20K,1.27%
2024-06-25,"2,515.45","2,535.00","2,538.30","2,505.00",312.73K,-0.58%
2024-06-26,"2,534.25","2,522.60","2,547.00","2,507.45",479.36K,0.75%
2024-06-27,"2,533.75","2,531.20","2,554.00","2,508.05",866.31K,-0.02%
2024-06-28,"2,551.65","2,533.75","2,573.70","2,528.30",1.18M,0.71%
2024-07-01,"2,568.10","2,559.80","2,591.10","2,557.00",924.51K,0.64%
2024-07-02,"2,544.45","2,585.40","2,588.00","2,533.15",581.10K,-0.92%
2024-07-03,"2,551.50","2,550.10","2,569.55","2,540.70",315.96K,0.28%
2024-07-04,"2,545.15","2,560.00","2,565.00","2,542.05",313.68K,-0.25%
2024-07-05,"2,574.15","2,550.60","2,579.60","2,532.50",791.51K,1.14%
2024-07-08,"2,603.40","2,574.15","2,620.00","2,561.45",724.28K,1.14%
2024-07-09,"2,633.10","2,627.30","2,640.10","2,593.60",832.57K,1.14%
2024-07-10,"2,616.45","2,637.90","2,649.95","2,598.05",534.99K,-0.63%
2024-07-11,"2,593.20","2,620.00","2,631.60","2,563.70",1.05M,-0.89%
2024-07-12,"2,609.00","2,605.00","2,619.85","2,585.85",725.89K,0.61%
2024-07-15,"2,605.10","2,609.05","2,619.50","2,597.00",347.96K,-0.15%
2024-07-16,"2,607.30","2,604.60","2,618.85","2,569.05",757.07K,0.08%
2024-07-18,"2,627.05","2,575.00","2,634.90","2,575.00",866.80K,0.76%
2024-07-19,"2,597.85","2,634.85","2,645.50","2,586.45",538.94K,-1.11%
