Date,Price,Open,High,Low,Vol.,Change %
2024-03-15,"1,624.84","1,631.90","1,636.58","1,609.28",11.81M,-1.17%
2024-03-18,"1,593.67","1,620.86","1,623.50","1,589.89",4.96M,-1.92%
2024-03-19,"1,552.70","1,583.43","1,590.04","1,549.27",6.87M,-2.57%
2024-03-20,"1,546.24","1,554.24","1,566.12","1,543.65",4.76M,-0.42%
2024-03-21,"1,545.99","1,555.23","1,568.11","1,534.75",11.06M,-0.02%
2024-03-22,"1,500.39","1,512.48","1,520.33","1,489.80",14.67M,-2.95%
2024-03-26,"1,484.29","1,483.64","1,499.00","1,479.56",8.35M,-1.07%
2024-03-27,"1,475.54","1,487.62","1,490.60","1,473.25",6.86M,-0.59%
2024-03-28,"1,489.66","1,478.82","1,503.33","1,478.82",12.50M,0.96%
2024-04-01,"1,487.07","1,516.45","1,521.38","1,484.43",6.58M,-0.17%
2024-04-02,"1,474.54","1,476.53","1,484.78","1,472.55",7.28M,-0.84%
2024-04-03,"1,472.35","1,470.71","1,486.72","1,466.73",8.74M,-0.15%
2024-04-04,"1,478.37","1,482.20","1,487.27","1,459.77",11.19M,0.41%
2024-04-05,"1,470.81","1,471.76","1,478.37","1,467.78",5.07M,-0.51%
2024-04-08,"1,468.43","1,474.69","1,482.59","1,465.84",6.61M,-0.16%
2024-04-09,"1,486.47","1,481.65","1,505.32","1,478.96",9.42M,1.23%
2024-04-10,"1,498.36","1,491.94","1,501.39","1,476.23",6.74M,0.80%
2024-04-12,"1,476.43","1,495.57","1,498.36","1,471.21",12.28M,-1.46%
2024-04-15,"1,459.92","1,471.71","1,483.59","1,452.86",8.53M,-1.12%
2024-04-16,"1,406.52","1,442.87","1,446.99","1,405.13",16.17M,-3.66%
2024-04-18,"1,411.30","1,413.14","1,436.60","1,399.61",22.11M,0.34%
2024-04-19,"1,403.34","1,377.24","1,418.85","1,371.02",20.60M,-0.56%
2024-04-22,"1,424.72","1,411.94","1,428.80","1,405.13",5.86M,1.52%
2024-04-23,"1,434.32","1,434.91","1,438.74","1,424.97",4.86M,0.67%
2024-04-24,"1,422.73","1,436.21","1,436.21","1,419.05",4.27M,-0.81%
2024-04-25,"1,430.39","1,412.04","1,436.80","1,412.04",9.09M,0.54%
2024-04-26,"1,422.23","1,431.63","1,437.30","1,419.00",8.06M,-0.57%
2024-04-29,"1,426.71","1,421.94","1,431.73","1,420.25",5.06M,0.31%
2024-04-30,"1,412.59","1,426.66","1,428.50","1,409.61",6.94M,-0.99%
2024-05-02,"1,406.52","1,405.08","1,416.02","1,403.94",10.08M,-0.43%
2024-05-03,"1,408.36","1,414.13","1,416.81","1,395.34",8.84M,0.13%
2024-05-06,"1,417.91","1,412.04","1,437.60","1,409.16",6.45M,0.68%
2024-05-07,"1,432.88","1,416.96","1,435.26","1,407.67",6.08M,1.06%
2024-05-08,"1,419.30","1,427.21","1,431.68","1,417.61",6.23M,-0.95%
2024-05-09,"1,431.48","1,419.55","1,441.82","1,416.86",6.09M,0.86%
2024-05-10,"1,416.92","1,427.01","1,427.90","1,405.08",8.78M,-1.02%
2024-05-13,"1,415.47","1,417.01","1,417.01","1,403.29",3.74M,-0.10%
2024-05-14,"1,416.72","1,418.41","1,425.71","1,410.10",3.46M,0.09%
2024-05-15,"1,411.99","1,418.01","1,423.78","1,410.60",4.33M,-0.33%
2024-05-16,"1,445.20","1,425.91","1,447.59","1,419.00",9.25M,2.35%
2024-05-17,"1,436.21","1,448.83","1,448.83","1,431.18",7.54M,-0.62%
2024-05-18,"1,443.65","1,445.00","1,450.00","1,442.00",318.28K,0.52%
2024-05-21,"1,426.11","1,421.99","1,436.60","1,420.40",6.75M,-1.21%
2024-05-22,"1,446.65","1,420.74","1,451.77","1,420.00",7.17M,1.44%
2024-05-23,"1,464.15","1,446.55","1,469.87","1,441.87",8.64M,1.21%
2024-05-24,"1,456.89","1,460.02","1,467.23","1,451.82",5.28M,-0.50%
2024-05-27,"1,463.10","1,463.60","1,471.31","1,452.07",5.82M,0.43%
2024-05-28,"1,458.83","1,467.23","1,467.73","1,452.12",6.19M,-0.29%
2024-05-29,"1,442.82","1,457.19","1,457.29","1,441.87",7.40M,-1.10%
2024-05-30,"1,419.45","1,434.71","1,441.72","1,413.58",9.66M,-1.62%
2024-05-31,"1,406.90","1,409.80","1,436.75","1,400.00",37.11M,-0.88%
2024-06-03,"1,405.90","1,440.00","1,440.00","1,404.00",10.59M,-0.07%
2024-06-04,"1,393.65","1,409.00","1,415.00","1,358.35",13.74M,-0.87%
2024-06-05,"1,430.10","1,400.15","1,438.00","1,400.15",9.23M,2.62%
2024-06-06,"1,472.25","1,444.95","1,474.30","1,437.50",12.66M,2.95%
2024-06-07,"1,533.60","1,481.00","1,539.70","1,477.25",24.08M,4.17%
2024-06-10,"1,499.75","1,525.30","1,529.80","1,497.30",6.81M,-2.21%
2024-06-11,"1,495.75","1,500.05","1,506.45","1,493.95",4.85M,-0.27%
2024-06-12,"1,485.20","1,507.00","1,508.75","1,482.75",9.56M,-0.71%
2024-06-13,"1,493.95","1,495.00","1,505.00","1,489.35",7.31M,0.59%
2024-06-14,"1,488.90","1,503.70","1,503.70","1,486.05",4.24M,-0.34%
2024-06-18,"1,498.20","1,497.00","1,507.00","1,495.40",5.42M,0.62%
2024-06-19,"1,511.35","1,505.00","1,515.65","1,496.70",5.49M,0.88%
2024-06-20,"1,515.40","1,516.30","1,517.50","1,499.10",7.93M,0.27%
2024-06-21,"1,532.70","1,545.00","1,557.75","1,523.70",17.30M,1.14%
2024-06-24,"1,527.15","1,524.55","1,529.10","1,515.40",5.56M,-0.36%
2024-06-25,"1,541.95","1,526.00","1,543.90","1,520.35",4.55M,0.97%
2024-06-26,"1,540.70","1,541.00","1,548.85","1,535.00",4.85M,-0.08%
2024-06-27,"1,573.35","1,538.45","1,578.40","1,532.05",14.76M,2.12%
2024-06-28,"1,566.75","1,572.55","1,588.50","1,564.25",8.20M,-0.42%
2024-07-01,"1,590.80","1,559.50","1,599.90","1,559.50",6.80M,1.54%
2024-07-02,"1,621.05","1,596.20","1,633.80","1,586.50",10.49M,1.90%
2024-07-03,"1,627.40","1,625.00","1,636.00","1,606.00",7.27M,0.39%
2024-07-04,"1,650.65","1,628.20","1,660.00","1,628.00",8.01M,1.43%
2024-07-05,"1,647.45","1,651.45","1,665.85","1,633.35",7.07M,-0.19%
2024-07-08,"1,661.65","1,643.10","1,666.00","1,640.00",5.88M,0.86%
2024-07-09,"1,657.15","1,659.90","1,666.75","1,651.00",5.19M,-0.27%
2024-07-10,"1,648.25","1,657.00","1,674.00","1,637.55",9.85M,-0.54%
2024-07-11,"1,652.70","1,656.00","1,665.00","1,642.05",8.86M,0.27%
2024-07-12,"1,711.75","1,680.00","1,719.75","1,666.65",17.08M,3.57%
2024-07-15,"1,707.05","1,726.20","1,728.00","1,702.65",6.94M,-0.27%
2024-07-16,"1,726.05","1,718.60","1,737.90","1,700.00",6.89M,1.11%
2024-07-18,"1,758.05","1,719.00","1,765.40","1,719.00",11.25M,1.85%
2024-07-19,"1,792.95","1,844.00","1,844.00","1,786.45",29.82M,1.99%
2024-07-22,"1,810.85","1,800.15","1,823.00","1,792.95",8.46M,1.00%
2024-07-23,"1,836.90","1,810.00","1,839.95","1,783.25",7.11M,1.44%
2024-07-24,"1,833.95","1,837.50","1,842.35","1,819.60",6.00M,-0.16%
2024-07-25,"1,824.85","1,820.00","1,830.90","1,812.00",5.82M,-0.50%
2024-07-26,"1,878.90","1,825.35","1,883.00","1,825.35",11.37M,2.96%
2024-07-29,"1,871.10","1,893.60","1,903.00","1,864.00",4.64M,-0.42%
2024-07-30,"1,877.15","1,871.10","1,879.95","1,860.00",2.72M,0.32%
2024-07-31,"1,868.25","1,877.00","1,885.15","1,865.05",5.00M,-0.47%
2024-08-01,"1,852.60","1,856.10","1,867.90","1,845.10",7.48M,-0.84%
2024-08-02,"1,821.20","1,843.00","1,859.50","1,816.15",7.40M,-1.69%
2024-08-05,"1,751.90","1,784.95","1,797.50","1,718.55",10.74M,-3.81%
2024-08-06,"1,751.10","1,760.20","1,796.95","1,744.85",7.69M,-0.05%
2024-08-07,"1,791.65","1,796.00","1,797.90","1,762.10",5.09M,2.32%
2024-08-08,"1,743.15","1,779.95","1,779.95","1,727.10",6.23M,-2.71%
2024-08-09,"1,770.75","1,771.25","1,780.75","1,756.00",4.26M,1.58%
2024-08-12,"1,797.40","1,773.05","1,803.50","1,768.10",4.32M,1.51%
2024-08-13,"1,797.45","1,810.00","1,810.00","1,789.05",4.18M,0.00%
2024-08-14,"1,823.25","1,802.00","1,825.00","1,797.45",7.45M,1.44%
2024-08-16,"1,858.95","1,850.00","1,861.85","1,829.50",7.34M,1.96%
2024-08-19,"1,864.80","1,860.00","1,867.55","1,849.20",2.59M,0.31%
