Date,NAV,fund_name
2010-02-19,17.41,Birla
2010-02-18,17.49,Birla
2010-02-17,17.51,Birla
2010-02-16,17.38,Birla
2010-02-15,17.31,Birla
2010-02-11,17.4,Birla
2010-02-10,17.3,Birla
2010-02-09,17.31,Birla
2010-02-08,17.25,Birla
2010-02-05,17.2,Birla
2010-02-04,17.46,Birla
2010-02-03,17.64,Birla
2010-02-02,17.44,Birla
2010-02-01,17.56,Birla
2010-01-29,17.47,Birla
2010-01-28,17.44,Birla
2010-01-27,17.41,Birla
2010-01-25,17.77,Birla
2010-01-22,17.81,Birla
2010-01-21,17.93,Birla
2010-01-20,18.18,Birla
2010-01-19,18.18,Birla
2010-01-18,18.28,Birla
2010-01-15,18.26,Birla
2010-01-14,18.29,Birla
2010-01-13,18.23,Birla
2010-01-12,18.19,Birla
2010-01-11,18.29,Birla
2010-01-08,20.26,Birla
2010-01-07,20.31,Birla
2010-01-06,20.32,Birla
2010-01-05,20.33,Birla
2010-01-04,20.22,Birla
2009-12-31,20.16,Birla
2009-12-30,20.1,Birla
2009-12-29,20.13,Birla
2009-12-24,20.12,Birla
2009-12-23,20.04,Birla
2009-12-22,19.77,Birla
2009-12-21,19.68,Birla
2009-12-18,19.75,Birla
2009-12-17,19.82,Birla
2009-12-16,19.81,Birla
2009-12-15,19.76,Birla
2009-12-14,19.93,Birla
2009-12-11,19.96,Birla
2009-12-10,20.02,Birla
2009-12-09,19.96,Birla
2009-12-08,20.04,Birla
2009-12-07,19.92,Birla
2009-12-04,19.98,Birla
2009-12-03,20.03,Birla
2009-12-02,19.98,Birla
2009-12-01,19.98,Birla
2009-11-30,19.87,Birla
2009-11-27,19.65,Birla
2009-11-26,19.79,Birla
2009-11-25,19.99,Birla
2009-11-24,19.97,Birla
2009-11-23,19.99,Birla
2009-11-20,19.9,Birla
2009-11-19,19.82,Birla
2009-11-18,19.95,Birla
2009-11-17,19.98,Birla
2009-11-16,19.94,Birla
2009-11-13,19.87,Birla
2009-11-12,19.78,Birla
2009-11-11,19.88,Birla
2009-11-10,19.72,Birla
2009-11-09,19.7,Birla
2009-11-06,19.57,Birla
2009-11-05,19.46,Birla
2009-11-04,19.35,Birla
2009-11-03,19.18,Birla
2009-10-30,19.38,Birla
2009-10-29,19.39,Birla
2009-10-28,19.52,Birla
2009-10-27,19.54,Birla
2009-10-26,19.89,Birla
2009-10-23,19.99,Birla
2009-10-22,20.03,Birla
2009-10-21,20.2,Birla
2009-10-20,20.37,Birla
2009-10-16,20.43,Birla
2009-10-15,20.3,Birla
2009-10-14,20.29,Birla
2009-10-12,20.05,Birla
2009-10-09,19.81,Birla
2009-10-08,19.94,Birla
2009-10-07,19.92,Birla
2009-10-06,19.99,Birla
2009-10-05,19.93,Birla
2009-10-01,20.19,Birla
2009-09-30,20.19,Birla
2009-09-29,19.95,Birla
2009-09-25,19.83,Birla
2009-09-24,19.92,Birla
2009-09-23,19.88,Birla
2009-09-22,19.99,Birla
2009-09-18,19.88,Birla
2009-09-17,19.85,Birla
2009-09-16,19.83,Birla
2009-09-15,19.63,Birla
2009-09-14,19.44,Birla
2009-09-11,19.48,Birla
2009-09-10,19.44,Birla
2009-09-09,19.42,Birla
2009-09-08,19.38,Birla
2009-09-07,19.29,Birla
2009-09-04,19.01,Birla
2009-09-03,18.79,Birla
2009-09-02,18.83,Birla
2009-09-01,18.87,Birla
2009-08-31,18.97,Birla
2009-08-28,19.07,Birla
2009-08-27,19.01,Birla
2009-08-26,19.02,Birla
2009-08-25,18.97,Birla
2009-08-24,18.93,Birla
2009-08-21,18.79,Birla
2009-08-20,18.73,Birla
2009-08-19,18.68,Birla
2009-08-18,18.77,Birla
2009-08-17,18.73,Birla
2009-08-14,18.94,Birla
2009-08-13,18.93,Birla
2009-08-12,18.77,Birla
2009-08-11,18.82,Birla
2009-08-10,18.76,Birla
2009-08-07,18.81,Birla
2009-08-06,19.09,Birla
2009-08-05,19.36,Birla
2009-08-04,19.31,Birla
2009-08-03,19.41,Birla
2009-07-31,19.22,Birla
2009-07-30,19.03,Birla
2009-07-29,18.89,Birla
2009-07-28,19.04,Birla
2009-07-27,19.08,Birla
2009-07-24,19.05,Birla
2009-07-23,18.93,Birla
2009-07-22,18.61,Birla
2009-07-21,18.8,Birla
2009-07-20,18.88,Birla
2009-07-17,18.58,Birla
2009-07-16,18.41,Birla
2009-07-15,18.41,Birla
2009-07-14,18.25,Birla
2009-07-13,18.11,Birla
2009-07-10,18.14,Birla
2009-07-09,18.21,Birla
2009-07-08,19.69,Birla
2009-07-07,19.93,Birla
2009-07-06,19.92,Birla
2009-07-03,20.46,Birla
2009-07-02,20.36,Birla
2009-07-01,20.33,Birla
2009-06-30,20.27,Birla
2009-06-29,20.39,Birla
2009-06-26,20.32,Birla
2009-06-25,20.17,Birla
2009-06-24,20.14,Birla
2009-06-23,20.13,Birla
2009-06-22,20.12,Birla
2009-06-19,20.33,Birla
2009-06-18,20.17,Birla
2009-06-17,20.46,Birla
2009-06-16,20.96,Birla
2009-06-15,20.87,Birla
2009-06-12,21.21,Birla
2009-06-11,21.36,Birla
2009-06-10,21.41,Birla
2009-06-09,21.1,Birla
2009-06-08,20.75,Birla
2009-06-05,21.22,Birla
2009-06-04,21.18,Birla
2009-06-03,21.07,Birla
2009-06-02,21.08,Birla
2009-06-01,21.04,Birla
2009-05-29,20.95,Birla
2009-05-28,20.76,Birla
2009-05-27,20.68,Birla
2009-05-26,20.5,Birla
2009-05-25,20.66,Birla
2009-05-22,20.69,Birla
2009-05-21,20.71,Birla
2009-05-20,20.8,Birla
2009-05-19,20.84,Birla
2009-05-15,19.53,Birla
2009-05-14,19.4,Birla
2009-05-13,19.49,Birla
2009-05-12,19.57,Birla
2009-05-11,19.31,Birla
2009-05-08,19.44,Birla
2009-05-07,19.64,Birla
2009-05-06,19.5,Birla
2009-05-05,19.56,Birla
2009-05-04,19.6,Birla
2009-04-29,19.25,Birla
2009-04-28,19.09,Birla
2009-04-27,19.24,Birla
2009-04-24,19.21,Birla
2009-04-23,19.15,Birla
2009-04-22,19.15,Birla
2009-04-21,19.12,Birla
2009-04-20,19.2,Birla
